潮州鎮,Tiô-tsiu-tìn
東港鎮,Tang-káng-tìn
恆春鎮,Hîng-tshun-tìn
萬丹鄉,Bān-tan-hiong
長治鄉,Tióng-tī-hiong
麟洛鄉,Lîn-lo̍k-hiong
九如鄉,Kiú-jû-hiong
里港鄉,Lí-káng-hiong
鹽埔鄉,Iâm-poo-hiong
高樹鄉,Ko-tshiū-hiong
萬巒鄉,Bān-bân-hiong
內埔鄉,Lāi-poo-hiong
竹田鄉,Tik-tshân-hiong
新埤鄉,Sin-pi-hiong
枋寮鄉,Pang-liâu-hiong
新園鄉,Sin-hn̂g-hiong
崁頂鄉,Khàm-tíng-hiong
林邊鄉,Nâ-pinn-hiong
南州鄉,Lâm-tsiu-hiong
佳冬鄉,Ka-tang-hiong
琉球鄉,Liû-khiû-hiong
車城鄉,Tshâ-siânn-hiong
滿州鄉,Buán-tsiu-hiong
枋山鄉,Pang-suann-hiong
三地門鄉,Sam-tē-mn̂g-hiong
霧臺鄉,Bū-tâi-hiong
瑪家鄉,Má-ka-hiong
泰武鄉,Thài-bú-hiong
來義鄉,Lâi-gī-hiong
春日鄉,Tshun-ji̍t-hiong
獅子鄉,Sai-á-hiong
牡丹鄉,Bóo-tan-hiong
臺東市,Tâi-tang-tshī
成功鎮,Sîng-kong-tìn
關山鎮,Kuan-san-tìn
卑南鄉,Pi-lâm-hiong
鹿野鄉,Lo̍k-iá-hiong
池上鄉,Tî-siōng-hiong
東河鄉,Tong-hô-hiong
長濱鄉,Tiông-pin-hiong
太麻里鄉,Thài-mâ-lí-hiong
大武鄉,Tāi-bú-hiong
綠島鄉,Li̍k-tó-hiong
海端鄉,Hái-tuan-hiong
延平鄉,Iân-pîng-hiong
金峰鄉,Kim-hong-hiong
達仁鄉,Ta̍t-jîn-hiong
蘭嶼鄉,Lân-sū-hiong
花蓮市,Hua-lian-tshī
鳳林鎮,Hōng-lîm-tìn
玉里鎮,Gio̍k-lí-tìn
新城鄉,Sin-siânn-hiong
吉安鄉,Kiat-an-hiong
壽豐鄉,Siū-hong-hiong
光復鄉,Kong-ho̍k-hiong
豐濱鄉,Hong-pin-hiong
瑞穗鄉,Suī-suī-hiong
富里鄉,Hù-lí-hiong
秀林鄉,Siù-lîm-hiong
萬榮鄉,Bān-îng-hiong
卓溪鄉,Toh-khe-hiong
